alert_id,alert_timestamp,risk_score,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,errorBalanceOrig,isZeroBalanceOrig,isZeroBalanceDest,amountToBalanceRatio,destBalanceUnchanged,txn_count,amount_outlier,oldbalanceOrg_outlier,newbalanceOrig_outlier,oldbalanceDest_outlier,newbalanceDest_outlier,rule_based_flag,rule_based_score,ml_flag,ml_score,network_flag,final_risk_score,high_risk_flag
ALERT-000001,2025-11-15 13:50:53,6.0,4,CASH_OUT,728152.2725,C2044690596,532686.54,0.0,C932583850,1852820.14,3459705.48,1,0,0,0,0,1.0,0,1,1,1,0,1,1,True,5.0,1,0.8354737806083786,True,6.0,True
ALERT-000002,2025-11-15 13:50:53,6.0,1,CASH_OUT,728152.2725,C467632528,532686.54,0.0,C716083600,0.0,2444985.19,1,0,0,0,1,1.0,0,1,1,1,0,0,0,True,5.0,1,0.9330360659926614,True,6.0,True
ALERT-000003,2025-11-15 13:50:53,6.0,4,CASH_OUT,728152.2725,C351297720,532686.54,0.0,C766681183,0.0,3459705.48,1,0,0,0,1,1.0,0,1,1,1,0,0,1,True,5.0,1,0.9346557841978712,True,6.0,True
ALERT-000004,2025-11-15 13:50:53,4.0,1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9704375630527778,False,4.0,True
ALERT-000005,2025-11-15 13:50:53,4.0,5,CASH_OUT,10119.47,C213063852,10119.47,0.0,C922511709,0.0,10119.47,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9635971084218694,False,4.0,True
ALERT-000006,2025-11-15 13:50:53,4.0,1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9678477000937197,False,4.0,True
ALERT-000007,2025-11-15 13:50:53,4.0,5,CASH_OUT,120074.73,C1174000532,120074.73,0.0,C410033330,0.0,120074.73,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9606814324049187,False,4.0,True
ALERT-000008,2025-11-15 13:50:53,4.0,5,TRANSFER,60726.57,C383882703,60726.57,0.0,C1807010830,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9761304071980106,False,4.0,True
ALERT-000009,2025-11-15 13:50:53,4.0,5,CASH_OUT,60726.57,C840095827,60726.57,0.0,C803116137,1852820.14,3459705.48,1,0,0,0,0,1.0,0,1,0,0,0,1,1,True,5.0,1,0.8132291679511056,False,4.0,True
ALERT-000010,2025-11-15 13:50:53,4.0,5,TRANSFER,10119.47,C1775746074,10119.47,0.0,C746009679,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9732899212867762,False,4.0,True
ALERT-000011,2025-11-15 13:50:53,4.0,6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9722427193781538,False,4.0,True
ALERT-000012,2025-11-15 13:50:53,4.0,4,CASH_OUT,13707.11,C556223230,13707.11,0.0,C2094777811,0.0,13707.11,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9782355522678335,False,4.0,True
ALERT-000013,2025-11-15 13:50:53,4.0,6,TRANSFER,25975.86,C864622150,25975.86,0.0,C41792607,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.991673826359644,False,4.0,True
ALERT-000014,2025-11-15 13:50:53,4.0,6,CASH_OUT,25975.86,C1004271827,25975.86,0.0,C451934410,98152.0,28041.27,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9393305008681645,False,4.0,True
ALERT-000015,2025-11-15 13:50:53,4.0,6,TRANSFER,26768.5,C457596841,26768.5,0.0,C1956477953,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.991673826359644,False,4.0,True
ALERT-000016,2025-11-15 13:50:53,4.0,6,CASH_OUT,26768.5,C682812632,26768.5,0.0,C256417920,101976.0,128744.5,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9538975291816033,False,4.0,True
ALERT-000017,2025-11-15 13:50:53,4.0,6,TRANSFER,30521.02,C903383636,30521.02,0.0,C904300960,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916779895569796,False,4.0,True
ALERT-000018,2025-11-15 13:50:53,4.0,6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9865770293340556,False,4.0,True
ALERT-000019,2025-11-15 13:50:53,4.0,4,CASH_OUT,86070.17,C1699873763,86070.17,0.0,C560041895,0.0,86070.17,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9578373063019321,False,4.0,True
ALERT-000020,2025-11-15 13:50:53,4.0,4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9873665673492773,False,4.0,True
ALERT-000021,2025-11-15 13:50:53,4.0,4,TRANSFER,13707.11,C17222024,13707.11,0.0,C410033330,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9876540106894275,False,4.0,True
